word,rank,frequency
the,1,9725
of,2,6980
and,3,5043
to,4,4366
in,5,2626
a,6,2170
our,7,2012
that,8,1686
we,9,1498
be,10,1435
is,11,1388
it,12,1150
for,13,1114
by,14,1052
have,15,990
which,16,981
with,17,916
as,18,909
not,19,900
will,20,815
are,21,763
this,22,746
i,23,746
their,24,735
all,25,730
has,26,606
but,27,587
its,28,564
from,29,545
or,30,538
on,31,496
my,32,478
been,33,473
can,34,456
no,35,439
they,36,434
government,37,405
an,38,378
us,39,375
upon,40,361
people,41,360
who,42,353
must,43,340
so,44,339
at,45,333
--,46,322
should,47,320
may,48,320
great,49,316
shall,50,308
those,51,307
more,52,292
every,53,283
any,54,275
was,55,265
if,56,258
these,57,253
than,58,234
only,59,230
new,60,229
there,61,225
them,62,224
own,63,223
states,64,222
one,65,221
public,66,221
other,67,214
such,68,207
his,69,205
would,70,205
do,71,203
united,72,192
under,73,189
when,74,187
power,75,182
nation,76,178
now,77,175
country,78,173
world,79,170
most,80,169
free,81,157
what,82,157
constitution,83,152
national,84,150
time,85,146
me,86,143
peace,87,142
you,88,139
american,89,138
made,90,135
without,91,135
were,92,134
had,93,128
make,94,126
into,95,123
never,96,120
let,97,120
freedom,98,116
nations,99,116
citizens,100,115
each,101,111
men,102,111
good,103,111
against,104,109
rights,105,109
spirit,106,109
your,107,109
he,108,108
before,109,106
just,110,106
among,111,105
because,112,105
best,113,105
america,114,104
political,115,103
union,116,103
duty,117,103
well,118,103
years,119,102
through,120,100
foreign,121,99
fellow,122,98
some,123,98
many,124,96
congress,125,96
both,126,96
much,127,95
war,128,95
between,129,95
laws,130,94
hope,131,92
human,132,91
work,133,91
"people,",134,90
long,135,89
right,136,89
within,137,89
state,138,87
executive,139,87
part,140,87
first,141,86
common,142,86
out,143,85
policy,144,84
interests,145,84
same,146,83
know,147,83
life,148,83
over,149,82
"government,",150,82
whole,151,82
nor,152,81
law,153,81
far,154,79
principles,155,78
support,156,77
present,157,76
justice,158,76
less,159,75
ever,160,75
duties,161,75
necessary,162,75
high,163,74
general,164,74
confidence,165,73
always,166,73
powers,167,72
system,168,70
still,169,69
it.,170,69
federal,171,69
faith,172,69
where,173,68
could,174,68
while,175,68
better,176,67
equal,177,67
yet,178,67
old,179,67
liberty,180,66
even,181,66
whose,182,66
might,183,65
full,184,65
means,185,65
administration,186,65
believe,187,65
find,188,65
give,189,64
need,190,63
people.,191,62
am,192,62
"and,",193,62
too,194,62
purpose,195,62
progress,196,62
secure,197,61
way,198,61
"nation,",199,61
come,200,61
party,201,61
president,202,61
"citizens,",203,60
ought,204,60
toward,205,59
take,206,59
proper,207,59
day,208,58
here,209,58
future,210,58
"country,",211,57
like,212,57
given,213,57
"peace,",214,57
see,215,57
being,216,57
up,217,56
institutions,218,56
found,219,56
history,220,56
man,221,56
interest,222,56
very,223,55
place,224,55
business,225,55
important,226,55
ourselves,227,55
beyond,228,54
called,229,54
"world,",230,54
since,231,54
become,232,53
force,233,53
service,234,53
seek,235,52
constitutional,236,52
meet,237,52
strength,238,52
stand,239,52
subject,240,52
civil,241,51
respect,242,51
influence,243,51
greater,244,51
god,245,50
also,246,49
then,247,49
security,248,49
"states,",249,49
change,250,49
protection,251,48
office,252,48
revenue,253,48
cannot,254,47
use,255,47
sense,256,47
"them,",257,47
today,258,47
question,259,47
things,260,47
continue,261,46
TRUE,262,46
domestic,263,46
"us,",264,46
nothing,265,45
economic,266,45
whether,267,45
responsibility,268,44
action,269,44
order,270,44
did,271,44
land,272,44
go,273,44
help,274,44
her,275,43
having,276,43
regard,277,43
"justice,",278,43
moral,279,43
control,280,43
cause,281,43
government.,282,43
"it,",283,43
country.,284,42
themselves,285,42
condition,286,42
maintain,287,42
americans,288,42
live,289,42
again,290,42
oath,291,42
them.,292,42
ask,293,42
prosperity,294,42
individual,295,41
look,296,41
local,297,41
"war,",298,41
"nations,",299,41
times,300,40
strong,301,40
republic,302,40
commerce,303,40
trust,304,40
honor,305,40
act,306,40
itself,307,40
world.,308,40
experience,309,40
effort,310,39
whom,311,39
after,312,39
trade,313,39
once,314,39
last,315,39
exercise,316,39
greatest,317,38
highest,318,38
wisdom,319,38
either,320,38
done,321,38
form,322,38
him,323,38
does,324,38
essential,325,38
authority,326,38
two,327,38
others,328,38
"union,",329,38
character,330,38
"however,",331,37
course,332,37
together,333,37
taken,334,37
love,335,37
purposes,336,37
throughout,337,37
until,338,37
success,339,36
home,340,36
citizen,341,36
increase,342,36
preserve,343,36
desire,344,36
blessings,345,36
bring,346,36
principle,347,36
how,348,36
about,349,36
states.,350,35
relations,351,35
call,352,35
past,353,35
already,354,35
governments,355,35
international,356,35
