Job Family,Employee Identifier,Salaries,Overtime,Total Compensation,Total Benefits,Percentage Benefits
Nursing,15067,2499.9225,351.56,9898.8875,6131.3975,0.6194026854027788
"Clerical, Secretarial & Steno",12682,590.23,446.03,2356.81,1320.55,0.5603124562438211
"Clerical, Secretarial & Steno",42375,360.02,283.86,1349.95,706.07,0.52303418645135
Nursing,7085,3961.68,2922.5766666666664,15963.206666666667,7810.54,0.4892838990996379
Nursing,41443,4234.290000000001,345.0275,9258.6725,4197.74,0.45338465098533287
Public Service Aide,39354,19790.8,1184.2033333333334,35975.30666666667,14782.839999999998,0.4109163025897763
Nursing,15539,6024.9,1744.025,14239.505000000001,5760.045,0.4045116034581258
Public Service Aide,21479,9872.685000000001,1467.98,19203.845,7751.9400000000005,0.403666036671302
Public Service Aide,20356,14298.813333333334,1794.5366666666666,27257.400000000005,10915.293333333333,0.400452476514023
Public Service Aide,41552,15284.903333333334,2565.3033333333333,30088.746666666662,12042.060000000003,0.4002180660233551
Public Service Aide,39875,12587.156666666668,1110.2366666666667,22834.85666666667,9048.113333333333,0.3962413018576716
Street Transit,51582,7369.04,396.44,12909.88,5106.27,0.3955319491738111
Public Service Aide,54285,20719.0,1384.87,36704.62,14428.93,0.39310936879335623
Street Transit,27560,7171.165,392.84000000000003,12951.925000000001,5079.37,0.3921710479330292
Street Transit,31465,9678.0,765.35,17568.43,6882.59,0.391758967648219
Public Service Aide,49352,24593.906666666666,5021.6033333333335,49262.72666666666,19296.41333333333,0.3917041268117653
Street Transit,270,5511.03,566.17,9987.2,3893.74,0.3898730374879846
Public Service Aide,17517,21770.976666666666,3662.9900000000002,42357.04,16490.793333333335,0.38932827537838655
Street Transit,52214,7543.77,621.86,13465.95,5240.52,0.3891682354382721
Street Transit,35946,10058.73,578.605,18033.300000000003,7011.969999999999,0.38883454498067455
Street Transit,7462,4844.3,312.23,8441.66,3269.99,0.3873633858743422
Street Transit,23921,7234.32,819.82,13252.69,5129.16,0.387027841140176
Street Transit,14628,4692.92,312.23,8188.87,3168.58,0.3869373918501576
Street Transit,40073,7064.29,455.11,12314.9,4762.94,0.3867623772828037
Street Transit,28422,4087.38,312.23,7184.52,2773.37,0.3860202212534727
Street Transit,51827,10816.69,738.095,19303.78,7450.41,0.38595601483232816
Street Transit,8820,4087.38,312.23,7187.34,2772.59,0.3857602395322887
Public Service Aide,15923,33733.305,4255.797500000001,62614.494999999995,24008.5475,0.3834343389657619
Street Transit,13453,4775.535,421.34,8580.455,3288.74,0.3832827047050535
Public Service Aide,19260,22241.52,3276.345,41736.770000000004,15982.695,0.3829403904518725
Street Transit,9433,8531.845,640.34,15438.039999999999,5897.745000000001,0.38202679873870005
Street Transit,42461,10168.400000000001,866.08,18511.165,7056.515,0.3812031819715291
Street Transit,26366,6922.975,358.25,11920.725,4534.285,0.3803699019984103
Street Transit,26349,1362.46,198.69,2519.48,958.33,0.3803681712099322
