,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
0,abercda01,1871,1,TRO,,1,4,0,0,0,0,0,0.0,0.0,0.0,0,0.0,,,,,
7,barnero01,1871,1,BS1,,31,157,66,63,10,9,0,34.0,11.0,6.0,13,1.0,,,,,
9,barrofr01,1871,1,BS1,,18,86,13,13,2,1,0,11.0,1.0,0.0,0,0.0,,,,,
13,beaveed01,1871,1,TRO,,3,15,7,6,0,0,0,5.0,2.0,0.0,0,0.0,,,,,
14,bechtge01,1871,1,PH1,,20,94,24,33,9,1,1,21.0,4.0,0.0,2,2.0,,,,,
15,bellast01,1871,1,TRO,,29,128,26,32,3,3,0,23.0,4.0,4.0,9,2.0,,,,,
16,berkena01,1871,1,PH1,,1,4,0,0,0,0,0,0.0,0.0,0.0,0,3.0,,,,,
17,berryto01,1871,1,PH1,,1,4,0,1,0,0,0,0.0,0.0,0.0,0,0.0,,,,,
21,birdsda01,1871,1,BS1,,29,152,51,46,3,3,0,24.0,6.0,0.0,4,4.0,,,,,
27,conefr01,1871,1,BS1,,19,77,17,20,3,1,0,16.0,12.0,1.0,8,2.0,,,,,
28,connone01,1871,1,TRO,,7,33,6,7,0,0,0,2.0,0.0,0.0,0,0.0,,,,,
29,cravebi01,1871,1,TRO,,27,118,26,38,8,1,0,26.0,6.0,3.0,3,0.0,,,,,
30,cuthbne01,1871,1,PH1,,28,150,47,37,7,5,3,30.0,16.0,2.0,10,2.0,,,,,
38,fislewe01,1871,1,PH1,,28,147,43,41,8,2,0,16.0,6.0,3.0,3,2.0,,,,,
40,flowedi01,1871,1,TRO,,21,105,39,33,5,4,0,18.0,8.0,2.0,4,0.0,,,,,
41,flynncl01,1871,1,TRO,,29,142,43,48,6,1,0,27.0,3.0,3.0,4,2.0,,,,,
48,gouldch01,1871,1,BS1,,31,151,38,43,9,2,2,32.0,6.0,2.0,3,1.0,,,,,
54,heubege01,1871,1,PH1,,17,75,18,23,4,2,0,13.0,1.0,0.0,2,0.0,,,,,
57,jackssa01,1871,1,BS1,,16,76,17,17,5,3,0,11.0,0.0,1.0,1,4.0,,,,,
62,kingst01,1871,1,TRO,,29,144,45,57,10,6,0,34.0,3.0,3.0,1,1.0,,,,,
67,malonfe01,1871,1,PH1,,27,134,33,46,7,1,1,33.0,9.0,3.0,9,4.0,,,,,
70,mcbridi01,1871,1,PH1,,25,132,36,31,3,0,0,17.0,4.0,0.0,7,1.0,,,,,
72,mcgeami01,1871,1,TRO,,29,148,42,39,4,0,0,12.0,20.0,4.0,6,0.0,,,,,
73,mcmuljo01,1871,1,TRO,,29,136,38,38,0,5,0,32.0,11.0,1.0,8,6.0,,,,,
74,mcveyca01,1871,1,BS1,,29,153,43,66,9,5,0,43.0,6.0,0.0,1,2.0,,,,,
75,meyerle01,1871,1,PH1,,26,130,45,64,9,3,4,40.0,4.0,0.0,2,1.0,,,,,
84,pikeli01,1871,1,TRO,,28,130,43,49,10,7,4,39.0,3.0,2.0,5,7.0,,,,,
87,prattto01,1871,1,PH1,,1,6,2,2,0,0,0,1.0,0.0,0.0,0,0.0,,,,,
90,radcljo01,1871,1,PH1,,28,145,47,44,7,5,0,22.0,5.0,1.0,6,1.0,,,,,
91,reachal01,1871,1,PH1,,26,133,43,47,7,6,0,34.0,2.0,0.0,5,6.0,,,,,
93,schafha01,1871,1,BS1,,31,149,38,42,7,5,0,28.0,13.0,4.0,3,1.0,,,,,
95,senseco01,1871,1,PH1,,25,127,38,41,5,2,0,23.0,5.0,3.0,0,1.0,,,,,
98,spaldal01,1871,1,BS1,,31,144,43,39,10,1,1,31.0,2.0,0.0,8,1.0,,,,,
111,wrighge01,1871,1,BS1,,16,80,33,33,7,5,0,11.0,9.0,1.0,6,1.0,,,,,
112,wrighha01,1871,1,BS1,,31,147,42,44,5,2,0,26.0,7.0,1.0,13,2.0,,,,,
113,yorkto01,1871,1,TRO,,29,145,36,37,5,7,2,23.0,2.0,2.0,9,1.0,,,,,
119,allisdo01,1872,1,TRO,,23,115,23,35,4,2,0,20.0,1.0,1.0,1,3.0,,,,,
121,ansonca01,1872,1,PH1,,46,217,60,90,10,7,0,50.0,6.0,6.0,16,3.0,,,,,
124,barnero01,1872,1,BS1,,45,229,81,99,28,2,1,44.0,12.0,2.0,9,4.0,,,,,
131,bellast01,1872,1,TRO,,23,114,22,30,4,0,0,16.0,1.0,0.0,0,0.0,,,,,
135,birdsda01,1872,1,BS1,,16,76,11,16,3,0,0,15.0,0.0,2.0,1,0.0,,,,,
154,cuthbne01,1872,1,PH1,,47,260,83,88,10,0,1,47.0,14.0,4.0,6,10.0,,,,,
162,fislewe01,1872,1,PH1,,47,243,49,85,13,3,0,48.0,3.0,0.0,4,4.0,,,,,
165,flowedi01,1872,1,PH1,,3,15,1,4,0,0,0,4.0,0.0,0.0,2,2.0,,,,,
167,forceda01,1872,1,TRO,,25,130,40,53,11,0,0,16.0,2.0,2.0,1,0.0,,,,,
171,gedneco01,1872,1,TRO,,9,47,14,20,3,0,3,18.0,1.0,0.0,0,0.0,,,,,
176,gouldch01,1872,1,BS1,,45,211,40,54,9,8,0,33.0,0.0,0.0,2,3.0,,,,,
187,hodesch01,1872,1,TRO,,13,61,17,15,3,0,0,12.0,0.0,0.0,1,0.0,,,,,
197,kingma01,1872,1,TRO,,3,11,0,0,0,0,0,1.0,0.0,0.0,0,1.0,,,,,
198,kingst01,1872,1,TRO,,25,128,33,39,8,0,0,21.0,1.0,1.0,1,2.0,,,,,
200,leonaan01,1872,1,BS1,,46,240,57,84,7,1,2,43.0,8.0,5.0,0,2.0,,,,,
203,mackde01,1872,1,PH1,,47,205,68,59,9,1,0,34.0,9.0,5.0,23,9.0,,,,,
204,malonfe01,1872,1,PH1,,41,213,46,60,5,3,0,39.0,3.0,0.0,4,5.0,,,,,
207,martiph01,1872,1,TRO,,25,117,27,36,2,1,0,14.0,0.0,0.0,0,1.0,,,,,
210,mcatebu01,1872,1,TRO,,25,129,30,28,3,1,0,15.0,0.0,2.0,1,2.0,,,,,
211,mcbridi01,1872,1,PH1,,47,258,57,74,6,1,0,37.0,2.0,1.0,3,2.0,,,,,
216,mcgeami01,1872,1,PH1,,47,225,68,81,9,2,0,35.0,13.0,8.0,2,1.0,,,,,
218,mcveyca01,1872,1,BS1,,46,237,56,76,10,2,0,41.0,6.0,1.0,1,1.0,,,,,
219,meyerle01,1872,1,PH1,,27,146,31,48,10,5,1,31.0,0.0,0.0,0,1.0,,,,,
226,nelsoca01,1872,1,TRO,,4,20,2,7,0,0,0,4.0,0.0,0.0,0,2.0,,,,,
236,reachal01,1872,1,PH1,,24,118,21,23,0,0,0,11.0,1.0,1.0,4,0.0,,,,,
240,rogerfr01,1872,1,BS1,,45,204,39,56,7,1,1,28.0,2.0,0.0,1,4.0,,,,,
241,schafha01,1872,1,BS1,,48,225,51,65,10,4,1,37.0,2.0,0.0,0,8.0,,,,,
243,senseco01,1872,1,PH1,,1,5,2,2,0,0,0,1.0,0.0,1.0,0,0.0,,,,,
247,spaldal01,1872,1,BS1,,48,237,60,84,11,5,0,47.0,3.0,0.0,3,1.0,,,,,
257,treacfr01,1872,1,PH1,,47,236,53,65,7,3,2,29.0,7.0,5.0,5,10.0,,,,,
262,woodji01,1872,1,TRO,,25,113,40,38,11,4,2,27.0,3.0,0.0,2,1.0,,,,,
265,wrighge01,1872,1,BS1,,48,255,87,86,16,6,2,32.0,14.0,4.0,3,1.0,,,,,
266,wrighha01,1872,1,BS1,,48,208,39,52,5,1,0,23.0,0.0,0.0,9,2.0,,,,,
269,zettlge01,1872,1,TRO,,25,113,25,29,9,0,0,21.0,0.0,1.0,0,2.0,,,,,
272,addybo01,1873,2,BS1,,31,152,37,54,5,2,1,36.0,2.0,3.0,1,0.0,,,,,
276,ansonca01,1873,1,PH1,,52,254,53,101,9,2,0,36.0,0.0,2.0,5,1.0,,,,,
280,barnero01,1873,1,BS1,,60,322,125,137,29,8,2,62.0,13.0,4.0,18,2.0,,,,,
282,battijo01,1873,1,PH1,,1,5,4,3,0,0,0,2.0,0.0,0.0,1,0.0,,,,,
