author,rank,contributions
paul krugman,1,665
melena ryzik,2,535
dave itzkoff,3,375
michael de la merced,4,352
brooks barnes,5,298
deb amlen,6,285
katherine schulten,7,266
toni monkovic,8,255
brian stelter,9,251
patrick healy,10,243
florence fabricant,11,235
none none,12,213
robert mackey,13,212
andrew rosenthal,14,194
andrew revkin,15,192
jeff klein,16,181
stuart elliott,17,180
ben sisario,18,178
ross douthat,19,171
kathryn shattuck,20,171
ben rothenberg,21,170
william alden,22,168
jeremy peters,23,168
neil genzlinger,24,165
ann carrns,25,165
ashley parker,26,165
bill carter,27,163
christopher clarey,28,163
kj dell'antonia,29,159
international tribune,30,157
judy battista,31,146
catherine rampell,32,146
matt flegenheimer,33,144
richard sandomir,34,142
andy newman,35,142
nate silver,36,138
michael cieply,37,137
ken belson,38,136
j. goodman,39,136
mark scott,40,135
stephen holden,41,134
james mckinley,42,131
ben protess,43,130
jack ewing,44,130
al baker,45,130
jeff zeleny,46,130
trip gabriel,47,130
michael gonchar,48,130
jon caramanica,49,130
brian chen,50,130
adam liptak,51,128
erik piepenburg,52,127
lynn zinser,53,125
benjamin hoffman,54,125
katharine seelye,55,125
mike hale,56,124
martha shulman,57,121
cara buckley,58,120
ben shpigel,59,119
jack bell,60,118
karen crouse,61,118
tyler kepner,62,118
nick bilton,63,117
chad bray,64,116
allan kozinn,65,116
rick gladstone,66,116
isabel kershner,67,116
shannon doyne,68,115
anthony tommasini,69,115
sam roberts,70,115
robin pogrebin,71,115
james barron,72,114
jennifer steinhauer,73,113
ashley southall,74,113
maggie haberman,75,112
jon pareles,76,111
carl hulse,77,111
roy furchgott,78,111
holly ojalvo,79,110
thomas kaplan,80,109
greg bishop,81,108
nicholas bakalar,82,108
cathy horyn,83,108
larry rohter,84,108
david waldstein,85,106
ben schott,86,105
helene cooper,87,105
michael barbaro,88,105
nicholas confessore,89,105
steven erlanger,90,105
daniel slotnik,91,105
matthew wald,92,104
choe sang-hun,93,103
nick corasaniti,94,103
mark landler,95,103
charlie savage,96,102
sheryl stolberg,97,101
ben werschkul,98,101
andrew das,99,101
alan rappeport,100,101
daniel wakin,101,100
charles isherwood,102,100
mekado murphy,103,100
david leonhardt,104,99
tara parker-pope,105,98
michael cooper,106,98
gail collins,107,97
david dunlap,108,97
nate chinen,109,97
azam ahmed,110,97
jackie calmes,111,95
jerry garrett,112,95
peter baker,113,94
david brooks,114,94
floyd norris,115,94
robert pear,116,94
jenna wortham,117,94
edward wong,118,93
ellen barry,119,93
julie bosman,120,92
randy kennedy,121,92
david jolly,122,91
peter lattman,123,91
claire miller,124,91
jonathan weisman,125,90
anahad o'connor,126,90
sam borden,127,89
quentin hardy,128,88
susanne craig,129,88
howard beck,130,87
nicholas kristof,131,87
alastair macaulay,132,87
nick wingfield,133,87
kareem fahim,134,87
ben brantley,135,86
ian austen,136,86
ben ratliff,137,85
mark bittman,138,85
roberta smith,139,84
amy chozick,140,84
sam sifton,141,84
michael schmidt,142,84
jennifer schultz,143,82
donald mcneil,144,82
corey kilgannon,145,82
andrew keh,146,82
bruce weber,147,81
christine hauser,148,81
somini sengupta,149,81
anne barnard,150,80
hiroko tabuchi,151,80
bill pennington,152,79
phillip alder,153,79
david carr,154,79
zachary woolfe,155,79
monica davey,156,78
margalit fox,157,77
emmarie huetteman,158,77
john burns,159,76
pedro rosado,160,76
dylan mcclain,161,75
jesse mckinley,162,75
alan cowell,163,75
liz robbins,164,74
sarah nir,165,74
patricia cohen,166,73
first draft,167,73
emma fitzsimmons,168,73
sindya bhanoo,169,73
jennifer schuessler,170,73
mac bishop,171,73
eric schmitt,172,72
chris nicholson,173,72
carol vogel,174,71
patrick mcgeehan,175,71
shivani vora,176,71
alan lee,177,71
benjamin weiser,178,70
adam nagourney,179,70
a. scott,180,70
gia kourlas,181,70
pete thamel,182,70
andrew kramer,183,69
scott cacciola,184,69
channon hodge,185,69
manohla dargis,186,69
christopher jensen,187,69
liam stack,188,68
ron lieber,189,68
dan bilefsky,190,68
edward barsamian,191,68
john branch,192,68
sydney ember,193,68
binyamin appelbaum,194,68
dave caldwell,195,68
jeannette catsoulis,196,67
clifford krauss,197,67
david sanger,198,67
rachel harris,199,67
joanne gerstner,200,66
nicole perlroth,201,66
john otis,202,66
alessandra stanley,203,65
simon romero,204,65
john williams,205,65
keith bradsher,206,65
john martin,207,65
william rhoden,208,64
frank bruni,209,64
julia werdigier,210,64
michael gordon,211,64
kate taylor,212,63
guy trebay,213,63
geoff macdonald,214,63
ravi somaiya,215,63
john eligon,216,63
ken johnson,217,63
jim rutenberg,218,63
eric wilson,219,62
abby goodnough,220,62
david chen,221,62
sonny vandevelde,222,62
andrew pollack,223,61
kenneth chang,224,61
joe drape,225,61
zena barakat,226,61
motoko rich,227,61
sharon otterman,228,61
jonathan martin,229,61
bloomberg news,230,61
elaine glusac,231,60
steve lohr,232,60
manny fernandez,233,60
jennifer mascia,234,60
marc santora,235,60
adam nossiter,236,60
william grimes,237,60
william neuman,238,60
andrew sorkin,239,59
colin moynihan,240,59
robin lindsay,241,59
vanessa friedman,242,59
noam cohen,243,59
harvey araton,244,59
rima suqi,245,59
paul stenquist,246,58
julie davis,247,58
joseph berger,248,58
thomas fuller,249,58
bruce pask,250,58
alison cohn,251,58
roslyn sulcas,252,58
graham bowley,253,57
bill vlasic,254,57
alissa rubin,255,57
sewell chan,256,57
rachel abrams,257,57
richard pérez-peña,258,57
paula span,259,56
lisa belkin,260,56
gabe johnson,261,56
chris buckley,262,56
kevin roose,263,56
jodi rudoren,264,55
stephen castle,265,55
elizabeth harris,266,55
david gonzalez,267,55
eric pfanner,268,54
jim dwyer,269,54
juliet macur,270,54
zach schonbrun,271,54
rachel donadio,272,54
jeffrey gettleman,273,54
jonah bromwich,274,53
eric asimov,275,53
